latitude,longitude,mean_air_pressure,uncertainty_std
-84.86197029204237,230.625,99225.99,368.3722
-84.86197029204237,232.5,99262.52,365.39886
-84.86197029204237,234.375,99300.83,362.4295
-84.86197029204237,236.25,99339.4,359.1159
-84.86197029204237,238.125,99377.08,355.9416
-84.86197029204237,240.0,99414.38,352.72968
-84.86197029204237,241.875,99449.24,349.56415
-84.86197029204237,243.75,99482.05,347.01984
-84.86197029204237,245.625,99511.39,344.98883
-84.86197029204237,247.5,99541.26,342.8168
-84.86197029204237,249.375,99568.08,340.8962
-84.86197029204237,251.25,99592.36,339.09848
-84.86197029204237,253.125,99616.22,337.43295
-84.86197029204237,255.0,99636.77,335.89386
-84.86197029204237,256.875,99653.67,334.50644
-84.86197029204237,258.75,99668.78,333.31937
-84.86197029204237,260.625,99680.78,332.31516
-84.86197029204237,262.5,99688.96,331.51053
-84.86197029204237,264.375,99693.08,330.91364
-84.86197029204237,266.25,99693.62,330.5273
-84.86197029204237,268.125,99691.89,330.36606
-84.86197029204237,270.0,99685.12,330.37933
-84.86197029204237,271.875,99677.43,330.59998
-84.86197029204237,273.75,99665.84,330.97803
-84.86197029204237,275.625,99652.64,331.507
-84.86197029204237,277.5,99636.78,332.1935
-84.86197029204237,279.375,99618.52,332.90128
-84.86197029204237,281.25,99600.2,333.66437
-84.86197029204237,283.125,99581.09,334.63803
-84.86197029204237,285.0,99561.52,335.55222
-84.86197029204237,286.875,99542.26,336.3257
-84.86197029204237,288.75,99522.37,336.82745
-84.86197029204237,290.625,99504.16,337.45868
-84.86197029204237,292.5,99486.42,338.0941
-84.86197029204237,294.375,99472.2,338.78595
-84.86197029204237,296.25,99457.99,339.6272
-84.86197029204237,298.125,99447.04,340.48825
-84.86197029204237,300.0,99439.76,341.4014
-84.86197029204237,301.875,99433.44,342.35248
-84.86197029204237,303.75,99430.08,343.34464
-84.86197029204237,305.625,99429.23,344.3727
-84.86197029204237,307.5,99429.93,345.48953
-84.86197029204237,309.375,99432.65,346.71048
-84.86197029204237,311.25,99438.48,348.0113
-84.86197029204237,313.125,99446.41,349.32144
-84.86197029204237,315.0,99455.16,350.94647
-84.86197029204237,316.875,99465.75,352.26065
-84.86197029204237,318.75,99477.7,353.3763
-84.86197029204237,320.625,99491.22,354.41733
-84.86197029204237,322.5,99506.98,355.53937
-84.86197029204237,324.375,99524.82,356.7682
-84.86197029204237,326.25,99543.4,358.60623
-84.86197029204237,328.125,99564.1,360.57117
-84.86197029204237,330.0,99587.03,362.428
-84.86197029204237,331.875,99610.26,364.2792
-84.86197029204237,333.75,99636.11,366.16595
-84.86197029204237,335.625,99663.1,368.0515
-84.86197029204237,337.5,99689.99,369.92313
-84.86197029204237,339.375,99718.18,371.74673
-84.86197029204237,341.25,99746.6,373.48166
-84.86197029204237,343.125,99775.36,375.1337
-84.86197029204237,345.0,99803.33,376.66504
-84.86197029204237,346.875,99830.62,378.0346
-84.86197029204237,348.75,99857.38,379.25256
-84.86197029204237,350.625,99882.58,380.29272
-84.86197029204237,352.5,99906.66,381.1415
-84.86197029204237,354.375,99929.11,381.80093
-84.86197029204237,356.25,99948.65,382.27243
-84.86197029204237,358.125,99967.31,382.57816
